CUSIP,h_opt ($),duration (yrs),h_curr ($),Delta ($),Spread (bps),Score,C1 charge ($)
AQ1070327,0.0,2.6089617052488325,1650165.0165016502,-1650165.0165016502,59.92283659,0.0059922836590000006,0.0
36294BAL8,0.0,3.0559651678821185,1650165.0165016502,-1650165.0165016502,79.78766296999999,0.007978766297,0.0
548661AK3,0.0,3.4901375553184075,1650165.0165016502,-1650165.0165016502,36.42806026,0.003642806026,0.0
AT8075117,0.0,3.0837932836784256,1650165.0165016502,-1650165.0165016502,52.96263429,0.005296263428999999,0.0
92343VER1,0.0,3.2351194767395426,1650165.0165016502,-1650165.0165016502,54.63849594999999,0.005463849595,0.0
92344GAM8,0.0,4.623706072855032,1650165.0165016502,-1650165.0165016502,71.11446399,0.007111446399,0.0
ZK3662838,0.0,2.911893948099301,1650165.0165016502,-1650165.0165016502,76.15483286,0.007615483286,0.0
83368JKF6,0.0,1.4501240318099557,1650165.0165016502,-1650165.0165016502,117.5675585,0.01175675585,0.0
674599DD4,0.0,4.843942436105974,1650165.0165016502,-1650165.0165016502,118.0685053,0.01180685053,0.0
698900AG2,0.0,5.1771541296069366,1650165.0165016502,-1650165.0165016502,127.7227991,0.01277227991,0.0
205887AF9,0.0,1.5371263030821434,1650165.0165016502,-1650165.0165016502,49.91610432,0.0049916104320000005,0.0
45434M2A9,0.0,4.398344341640345,1650165.0165016502,-1650165.0165016502,87.57359899,0.008757359898999999,0.0
AQ2327908,0.0,2.637791747944611,1650165.0165016502,-1650165.0165016502,59.928466889999996,0.005992846689,0.0
247025AE9,0.0,2.7872818828975148,1650165.0165016502,-1650165.0165016502,57.65436288,0.005765436288,0.0
AR7148604,0.0,2.807860556807196,1650165.0165016502,-1650165.0165016502,73.95370908,0.007395370908,0.0
636180BS9,0.0,1.5528715597973815,1650165.0165016502,-1650165.0165016502,72.20009033,0.007220009033,0.0
928668AU6,0.0,3.328412665147199,1650165.0165016502,-1650165.0165016502,113.9101631,0.01139101631,0.0
AV5564795,0.0,3.328412665147199,1650165.0165016502,-1650165.0165016502,113.9101631,0.01139101631,0.0
913017BA6,0.0,3.785199591605629,1650165.0165016502,-1650165.0165016502,56.13634001,0.005613634001,0.0
913017AT6,0.0,2.986731387022831,1650165.0165016502,-1650165.0165016502,55.45334517999999,0.0055453345179999995,0.0
BO1649512,0.0,2.9185638024292246,1650165.0165016502,-1650165.0165016502,4.117085436,0.0004117085436,0.0
BW4937361,0.0,3.875371305463275,1650165.0165016502,-1650165.0165016502,10.47456446,0.001047456446,0.0
ZF6644172,0.0,5.03275197108886,1650165.0165016502,-1650165.0165016502,13.48386223,0.001348386223,0.0
459058JR5,0.0,5.546356567664775,1650165.0165016502,-1650165.0165016502,7.891517521,0.0007891517521,0.0
502431AP4,0.0,1.8341315006776535,1650165.0165016502,-1650165.0165016502,49.58010604,0.004958010604,0.0
125581GX0,0.0,2.715236074487471,1650165.0165016502,-1650165.0165016502,78.82265520000001,0.00788226552,0.0
49327V2B9,0.0,3.700139571250045,1650165.0165016502,-1650165.0165016502,98.90638821,0.009890638821,0.0
949746TB7,0.0,3.8932736216666646,1650165.0165016502,-1650165.0165016502,92.5386481,0.00925386481,0.0
233853AM2,0.0,2.0336858911251587,1650165.0165016502,-1650165.0165016502,63.38202378,0.006338202378,0.0
501955AD0,0.0,5.669216321563153,1650165.0165016502,-1650165.0165016502,98.60459574,0.009860459573999999,0.0
61238QAA6,0.0,1.8798018405291523,1650165.0165016502,-1650165.0165016502,107.082802,0.0107082802,0.0
853254BF6,0.0,1.8904496564234294,1650165.0165016502,-1650165.0165016502,99.08679339,0.009908679339,0.0
472319AE2,0.0,2.139930720081559,1650165.0165016502,-1650165.0165016502,60.95496587,0.006095496587,0.0
929089AB6,0.0,1.3224095827452145,1650165.0165016502,-1650165.0165016502,57.58802449,0.005758802449,0.0
13607GRZ9,0.0,1.8768715524566872,1650165.0165016502,-1650165.0165016502,29.77231613,0.002977231613,0.0
04010LBE2,0.0,1.8083974205567053,1650165.0165016502,-1650165.0165016502,86.32656597,0.008632656597,0.0
880451AV1,0.0,3.1623282453989456,1650165.0165016502,-1650165.0165016502,74.66198369,0.007466198369,0.0
880451AS8,0.0,1.9070667306175908,1650165.0165016502,-1650165.0165016502,68.63802238,0.0068638022379999995,0.0
53079EBG8,0.0,3.4710535519047583,1650165.0165016502,-1650165.0165016502,98.06947636,0.009806947635999999,0.0
AW9591461,0.0,3.4710535519047583,1650165.0165016502,-1650165.0165016502,98.06947636,0.009806947635999999,0.0
ZS5181574,0.0,3.7362462585357687,1650165.0165016502,-1650165.0165016502,87.27284045999998,0.008727284045999999,0.0
78392BAH0,0.0,3.3716622538966634,1650165.0165016502,-1650165.0165016502,95.48009576,0.009548009575999999,0.0
ZM2585630,0.0,2.571145937236801,1650165.0165016502,-1650165.0165016502,86.09039388,0.008609039387999999,0.0
